region,departement,numero,chef-lieu
Auvergne-Rhones-Alpes,Ain,01,Bourg-en-Bresse
Hauts-de-France,Aisne,02,Laon
Auvergne-Rhones-Alpes,Allier,03,Moulin
PACA,Alpes-de-Haute-Provence,04,Digne-les-Bains
PACA,Hautes-Alpes,05,Gap
PACA,Alpes-Maritimes,06,Nice
Auvergne-Rhones-Alpes,Ardèche,07,Privas
Grand-Est,Ardennes,08,Charleville-Mézières
Occitanie,Ariège,09,Foix
Grand-Est,Aube,10,Troyes
Occitanie,Aude,11,Carcassone
Occitanie,Aveyron,12,Rodez
PACA,Bouches-du-Rhone,13,Marseille
Normandie,Calvados,14,Caen
Auvergne-Rhones-Alpes,Cantal,15,Aurillac
Nouvelle-Aquitaine,Charente,16,Angoulême
Nouvelle-Aquitaine,Charente-Maritime,17,La Rochelle
Centre-Val de Loire,Cher,18,Bourges
Nouvelle-Aquitaine,Corrèze,19,Tulle
Bourgogne-Franche-Comté,Cotes-d'Or,21,Dijon
Bretagne,Cotes-d'Armor,22,Saint-Brieuc
Nouvelle-Aquitaine,Creuse,23,Guéret
Nouvelle-Aquitaine,Dordogne,24,Périgueux
Bourgogne-Franche-Comté,Doubs,25,Besançon
Auvergne-Rhones-Alpes,Drôme,26,Valence
Normandie,Eure,27,Évreux
Centre-Val de Loire,Eure-et-Loir,28,Chartes
Bretagne,Finistère,29,Quimper
Occitanie,Gard,30,Nîmes
Occitanie,Haute-Garonne,31,Toulouse
Occitanie,Gers,32,Auch
Nouvelle-Aquitaine,Gironde,33,Bordeaux
Occitanie,Hérault,34,Montepellier
Bretagne,Ille-et-Vilaine,35,Rennes
Centre-Val de Loire,Indre,36,Châteauroux
Centre-Val de Loire,Indre-et-Loire,37,Tours
Auvergne-Rhones-Alpes,Isère,38,Grenoble
Bourgogne-Franche-Comté,Jura,39,Lons-le-Saunier
Nouvelle-Aquitaine,Landes,40,Mont-de-Marsan
Centre-Val de Loire,Loir-et-Cher,41,Blois
Auvergne-Rhones-Alpes,Loire,42,Saint-Étienne
Auvergne-Rhones-Alpes,Haute-Loire,43,Le Puy-en-Velay
Pays de la Loire,Loire-Atlantique,44,Nantes
Centre-Val de Loire,Loiret,45,Orléans
Occitanie,Lot,46,Cahors
Nouvelle-Aquitaine,Lot-et-Garonne,47,Agen
Occitanie,Lozère,48,Mende
Pays de la Loire,Maine-et-Loire,49,Angers
Normanide,Manche,50,Saint-Lô
Grand Est,Marne,51,Châlons-en-Champagne
Grand Est,Haute-Marne,52,Chaumont
Pays de la Loire,Mayenne,53,Laval
Grand Est,Meurthe-et-Moselle,54,Nancy
Grand Est,Meuse,55,Bar-le-Duc
Bretagne,Morbihan,56,Vannes
Grand Est,Moselle,57,Metz
Bourgogne-Franche-Comté,Nièvre,58,Nevers
Hauts-de-France,Nord,59,Lille
Hauts-de-France,Oise,60,Beauvais
Normandie,Orne,61,Alençon
Hauts-de-France,Pas-de-Calais,62,Arras
Auvergne-Rhones-Alpes,Puy-de-Dome,63,Clermont-Ferrand
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64,Pau
Occitanie,Hautes-Pyrénées,65,Tarbes
Occitanie,Pyréenées-Orientales,66,Perpignan
Grand Est,Bas-Rhin,67,Strasbourg
Grand Est,Haut-Rhin,68,Colmar
Auvergne-Rhones-Alpes,Rhône,69,Lyon
Bourgogne-Franche-Comté,Haute-Saône,70,Vesoul
Bourgogne-Franche-Comté,Saône-et-loire,71,Mâcon
Pays de la Loire,Sarthe,72,Le Mans
Auvergne-Rhones-Alpes,Savoie,73,Chambéry
Auvergne-Rhones-Alpes,Haute-Savoie,74,Annecy
Ile-de-France,Paris,75,Paris
Normandie,Seine-Maritime,76,Rouen
Ile-de-France,Seine-et-Marne,77,Melun
Ile-de-France,Yvelines,78,Versailles
Nouvelle-Aquitaine,Deux-Sèvres,79,Niort
Hauts-de-France,Somme,80,Amiens
Occitanie,Tarn,81,Albi
Occitanie,Tarn-et-Garonne,82,Montauban
PACA,Var,83,Toulon
PACA,Vaucluse,84,Avignon
Pays de la Loire,Vendée,85,La Roche-sur-Yon
Nouvelle-Aquitaine,Vienne,86,Poitiers
Nouvelle-Aquitaine,Haute-Vienne,87,Limoges
Grand Est,Vosges,88,Épinal
Bourgogne-Franche-Comté,Yonne,89,Auxerre
Bourgogne-Franche-Comté,Territoire de Belfort,90,Belfort
Ile-de-France,Essone,91,Évry-Courcouronnes
Ile-de-France,Hauts-de-Seine,92,Nanterre
Ile-de-France,Seine-Saint-Denis,93,Bobigny
Ile-de-France,Val-de-Marne,94,Créteil
Ile-de-France,Val-d'Oise,95,Pontoise
Guadeloupe,Guadeloupe,971,Basse-Terre
Martinique,Martinique,972,Fort-de-France
Guyane,Guyane,973,Cayenne
La Réunion,La Réunion,974,Saint-Denis
Mayotte,Mayotte,976,Dzaoudzi
Corse,Corse-du-Sud,2A,Ajaccio
Corse,Haute-Corse,2B,Bastia